paper_id,title,year,url,has_pdf,pdf_path,selection_reason
1,"Deep learning for healthcare: review, opportunities and challenges",2018,https://www.semanticscholar.org/paper/8df72c48a7ce4418c683c4dd9bb300558ac71d47,TRUE,data/raw_papers/8df72c48a7ce4418c683c4dd9bb300558ac71d47.pdf,Top-ranked paper returned by Semantic Scholar relevance
2,Deep learning for healthcare applications based on physiological signals: A review,2018,https://www.semanticscholar.org/paper/06ec154c2622fc2d6828e315da15210dd807684b,FALSE,,Top-ranked paper returned by Semantic Scholar relevance
3,A guide to deep learning in healthcare,2019,https://www.semanticscholar.org/paper/44e1dd74f0446ec91221189ad3a65edb1a0208fe,FALSE,,Top-ranked paper returned by Semantic Scholar relevance
1,Machine Learning for Healthcare-IoT Security: A Review and Risk Mitigation,2024,https://www.semanticscholar.org/paper/d4e52f63a52f7b3ee61e1fbafa4e40e60490dbb3,FALSE,,Top-ranked paper returned by Semantic Scholar relevance
2,Machine learning for healthcare that matters: Reorienting from technical novelty to equitable impact,2024,https://www.semanticscholar.org/paper/4ce283afb1c61556f5f1a76b31279a034b26f780,TRUE,data/raw_papers/4ce283afb1c61556f5f1a76b31279a034b26f780.pdf,Top-ranked paper returned by Semantic Scholar relevance
3,Shifting machine learning for healthcare from development to deployment and from models to data,2022,https://www.semanticscholar.org/paper/3ac52f3e6f185ef61bd35b74ae8a5c2bde4d1997,TRUE,data/raw_papers/3ac52f3e6f185ef61bd35b74ae8a5c2bde4d1997.pdf,Top-ranked paper returned by Semantic Scholar relevance
1,Teaching Python for Data Science: Collaborative development of a modular & interactive curriculum,2021,https://www.semanticscholar.org/paper/2f4d5eb4a4d312351c270aad58600f2424fab227,TRUE,data/raw_papers/2f4d5eb4a4d312351c270aad58600f2424fab227.pdf,Top-ranked paper returned by Semantic Scholar relevance
2,PENINGKATAN EFEKTIFITAS PROGRAMMING DENGAN PELATIHAN PYTHON FOR DATA SCIENCE BAGI KOMUNITAS PROGRAMMING PONDOK PESANTREN NAHDLATUL WATHAN ANJANI,2021,https://www.semanticscholar.org/paper/39ae7061e47f60cf80a21f9d8281f7d85fdf3a26,TRUE,data/raw_papers/39ae7061e47f60cf80a21f9d8281f7d85fdf3a26.pdf,Top-ranked paper returned by Semantic Scholar relevance
3,Python for Data Science,2024,https://www.semanticscholar.org/paper/b7f5db9c0be61a66f6a49688f5fea50575c3b037,FALSE,,Top-ranked paper returned by Semantic Scholar relevance
1,Python For DataScience,2025,https://www.semanticscholar.org/paper/02932fbf68eea97ccf32b7b61d2443b2af289d62,False,,Top-ranked paper returned by Semantic Scholar relevance
2,Pelatihan Datascience pada Pra-Pemrosesan Data untuk Siswa SMK Media Informatika - Jakarta,2024,https://www.semanticscholar.org/paper/0ea91642c0ca6fddefc2bddc8ce5c25763aee77d,False,,Top-ranked paper returned by Semantic Scholar relevance
3,Visualization and Interpretation of Lithium Iron Phosphate Cell Variable Characteristics by Adapting Python Data Science Packages,2024,https://www.semanticscholar.org/paper/31c25184947012edade648a0491f2e38cdd8ed54,False,,Top-ranked paper returned by Semantic Scholar relevance
1,Quantum Computing in the NISQ era and beyond,2018,https://www.semanticscholar.org/paper/f3d594544126e202dbd81c186ca3ce448af5255c,True,data/raw_papers/f3d594544126e202dbd81c186ca3ce448af5255c.pdf,Top-ranked paper returned by Semantic Scholar relevance
2,Quantum computing with Qiskit,2024,https://www.semanticscholar.org/paper/ed1c8676a7c13421afa315af9702fad182ee2347,False,,Top-ranked paper returned by Semantic Scholar relevance
3,Evidence for the utility of quantum computing before fault tolerance,2023,https://www.semanticscholar.org/paper/f9253a3e2627f1c2a0a7e2cea320a4ec4e4d2ff9,True,data/raw_papers/f9253a3e2627f1c2a0a7e2cea320a4ec4e4d2ff9.pdf,Top-ranked paper returned by Semantic Scholar relevance
